year,Computer Science,Economics,Electrical Engineering and Systems Science,Mathematics,Physics,Quantitative Biology,Quantitative Finance,Statistics
1990,0.07692307692307693,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0
1991,0.0084985835694051,0.0,0.0,0.1388101983002833,0.8526912181303116,0.0,0.0,0.0
1992,0.00031347962382445143,0.0,0.0,0.06394984326018809,0.9357366771159875,0.0,0.0,0.0
1993,0.0008916629514043691,0.0,0.0,0.034774855104770394,0.9643334819438253,0.0,0.0,0.0
1994,0.001488390553681286,0.0,0.0,0.03333994840246081,0.9651716610438579,0.0,0.0,0.0
1995,0.0020759649392588036,0.0,0.0,0.02667999384899277,0.9712440412117485,0.0,0.0,0.0
1996,0.0018271169354838709,0.0,0.0,0.021673387096774195,0.9764994959677419,0.0,0.0,0.0
1997,0.0011218765935747067,0.0,0.0,0.023610402855685875,0.9752677205507394,0.0,0.0,0.0
1998,0.009226313611915598,0.0,0.0,0.08729830368225072,0.9030616466694249,0.0004137360364087712,0.0,0.0
1999,0.010036101083032491,0.0,0.0,0.09220216606498195,0.8976534296028881,7.220216606498195e-05,3.610108303249098e-05,0.0
2000,0.01486843392350582,0.0,0.0,0.10427467475300792,0.880661254035019,6.521242948906062e-05,0.00013042485897812124,0.0
2001,0.016505733252866625,0.0,0.0,0.10259505129752565,0.8807483403741702,9.052504526252263e-05,6.0350030175015085e-05,0.0
2002,0.016175045007616674,0.0,0.0,0.12460877994737571,0.8591607810552555,0.0,5.5393989752111896e-05,0.0
2003,0.018074735987002436,0.0,0.0,0.1397238017871649,0.8382412672623883,0.00393480909829407,2.538586515028432e-05,0.0
2004,0.01958227529567863,0.0,0.0,0.15604053713998123,0.8136023608537506,0.010751950220758127,2.287648983140027e-05,0.0
2005,0.025301873106626276,0.0,0.0,0.17310235951700303,0.7902888594956693,0.011242906515338994,0.0,6.400136536246107e-05
2006,0.03337640393599046,0.0,0.0,0.19711758274525396,0.7581950104363383,0.011112215485538217,7.951495875161515e-05,0.00011927243812742272
2007,0.04584835602432331,0.0,0.0,0.20888267054117562,0.7252686146836714,0.012251340831225673,0.002475380724317925,0.005273637195286014
2008,0.05504165958170379,0.0,0.0,0.21266791362013263,0.7086379867369494,0.011681686787961231,0.003468797823499405,0.008501955449753443
2009,0.06726912331632096,0.0,0.0,0.2210516458304069,0.6880648031090509,0.010441541414992742,0.005244182235332678,0.007928704093895834
2010,0.0920356248577282,0.0,1.422717960391532e-05,0.2318888003642158,0.6513060550876394,0.008991577509674482,0.0058189164580013655,0.00994479854313681
2011,0.09493224719981201,0.0,0.0,0.2417038719615676,0.6360147254640871,0.008850943839586433,0.005743975353123939,0.012754236181822929
2012,0.12027401806243629,0.0,0.0,0.2483347950790528,0.5989522838789201,0.011129020788394528,0.005380804513238676,0.015929077677957666
2013,0.13552624495289367,0.0,2.1534320323014804e-05,0.2532220726783311,0.5714777927321669,0.015558546433378196,0.006191117092866756,0.018002691790040378
2014,0.1439594220719336,1.0246951531919253e-05,1.0246951531919253e-05,0.26009837073470643,0.5546367455681934,0.013648939440516447,0.006517061174300645,0.021118967107285582
2015,0.1542376105773804,0.0,2.8536098164177686e-05,0.26179016455816606,0.5396176162846,0.013630742889755541,0.006382573956054409,0.024312755635879386
2016,0.18369181946403385,1.7630465444287728e-05,3.5260930888575456e-05,0.255024682651622,0.5147390691114245,0.013645980253878703,0.006461565585331452,0.026383991537376587
2017,0.22090627802328305,0.00047664827396773335,0.003247671290424217,0.2466775999547588,0.4793304303568399,0.012505958103424596,0.005582439954435656,0.03127297404286603
2018,0.26014233100864104,0.0029776957763736223,0.01486710785954964,0.22973848992356297,0.44505153978215806,0.01174693860105288,0.005100550660008406,0.030375346388653413
2019,0.29041092376071886,0.003931578981124573,0.02869475426027951,0.21547361737334608,0.41645234323390007,0.010871168634594046,0.005105280373532072,0.029060333382504796
2020,0.3182555041368672,0.005598092834104613,0.040426307670733415,0.19831159725143738,0.38777731033515633,0.014298134903940541,0.005289580703968588,0.030043472163791895
2021,0.34850962835698435,0.006993430580564871,0.034554155033893356,0.18929619656495905,0.3777223442860368,0.010402039658808693,0.004724695620570598,0.02779750989818226
2022,0.36255848889989717,0.006542141622558812,0.03646907424657682,0.1861521976749821,0.3677706642831374,0.009121306920670475,0.004264507131742041,0.027121619220435173
