year,artificial intelligence,internet of things,virtual reality,quantum computing,robotics,cloud computing,autonomous vehicles,blockchain,covid-19,physics,superconductivity
1990,9.917289803042624e-06,0.0,9.917289803042624e-06,0.0,6.942102862129838e-05,0.0,9.917289803042624e-06,0.0,0.0,5.950373881825575e-05,0.00013884205724259675
1991,5.90661639479824e-05,0.0,2.95330819739912e-05,0.0,5.90661639479824e-05,0.0,1.9688721315994132e-05,0.0,0.0,3.9377442631988265e-05,0.0001181323278959648
1992,0.00010419626787913233,0.0,6.630671592308421e-05,0.0,0.00010419626787913233,0.0,0.0,0.0,0.0,6.630671592308421e-05,0.00014208581983518045
1993,0.00012633326715876482,0.0,0.0001173094623617102,0.0,7.219043837643704e-05,0.0,0.0,0.0,0.0,9.926185276760093e-05,0.00010828565756465556
1994,0.00010315086210316673,0.0,0.00017456299740535908,0.0,7.934681700243594e-05,0.0,7.934681700243595e-06,0.0,0.0,3.967340850121797e-05,0.0001428242706043847
1995,8.087288803822592e-05,0.0,0.00019544281275904598,0.0,6.065466602866944e-05,0.0,6.739407336518827e-06,0.0,0.0,7.41334807017071e-05,0.0001010911100477824
1996,3.3645564168819985e-05,0.0,0.0002758936261843239,0.0,6.056201550387597e-05,0.0,6.7291128337639966e-06,0.0,0.0,4.710378983634798e-05,6.056201550387597e-05
1997,9.197463799357327e-05,0.0,0.00040813745609648137,0.0,4.598731899678663e-05,0.0,0.0,0.0,0.0,6.323256362058162e-05,4.023890412218831e-05
1998,0.0002251303158174251,0.0,0.0001962674548151911,0.0,8.658858300670196e-05,0.0,5.772572200446797e-06,0.0,0.0,9.813372740759555e-05,2.8862861002233986e-05
1999,0.00014718628877949857,0.0,0.00020169972906820176,1.6354032086610952e-05,5.99647843175735e-05,0.0,0.0,0.0,0.0,8.722150446192508e-05,1.6354032086610952e-05
2000,0.0001483672187575729,0.0,0.0001483672187575729,1.483672187575729e-05,4.451016562727187e-05,0.0,9.891147917171527e-06,0.0,0.0,7.418360937878645e-05,2.472786979292882e-05
2001,0.00014466546112115733,0.0,0.0002423146473779385,4.701627486437613e-05,3.978300180831826e-05,0.0,0.0,0.0,0.0,0.00010849909584086799,2.1699819168173598e-05
2002,0.0001038637307852098,0.0,0.00016474936607309141,3.581507958110683e-05,9.311920691087775e-05,0.0,7.163015916221366e-06,0.0,0.0,0.00011818976261765254,2.1489047748664096e-05
2003,0.00013553478900013552,0.0,0.000139010040000139,3.127725900003128e-05,4.8653514000048656e-05,0.0,6.95050200000695e-06,0.0,0.0,0.00010773278100010773,4.8653514000048656e-05
2004,8.853213716579119e-05,0.0,0.00010164800933850099,1.9673808259064708e-05,5.574245673401667e-05,0.0,6.557936086354903e-06,0.0,0.0,0.00010164800933850099,2.2952776302242158e-05
2005,8.64032191370787e-05,0.0,8.948904839197437e-05,1.2343317019582672e-05,5.554492658812203e-05,0.0,6.171658509791336e-06,0.0,0.0,0.0001172615116860354,1.851497552937401e-05
2006,0.00010353865541743828,0.0,9.4663913524515e-05,5.916494595282187e-06,5.029020405989859e-05,2.9582472976410937e-06,2.9582472976410937e-06,0.0,0.0,0.00013312112839384922,2.0707731083487657e-05
2007,0.00013745463265980564,2.92456665233629e-06,0.00013453006600746935,2.632109987102661e-05,5.264219974205322e-05,0.0,8.77369995700887e-06,0.0,0.0,0.00010528439948410644,1.169826660934516e-05
2008,0.000163543688879332,0.0,9.994336542625846e-05,1.2114347324394964e-05,2.725728147988867e-05,7.268608394636978e-05,6.057173662197482e-06,0.0,0.0,0.00016657227571043075,9.085760493296223e-06
2009,0.00012001920307249159,0.0,0.0001329942520533015,1.621881122601238e-05,2.919386020682228e-05,0.00019462573471214854,6.487524490404951e-06,0.0,0.0,0.00019138197246694607,1.9462573471214852e-05
2010,9.332362767605503e-05,3.110787589201834e-06,8.399126490844952e-05,9.332362767605502e-06,4.9772601427229346e-05,0.0005101691646291008,3.110787589201834e-06,0.0,0.0,0.0001088775656220642,1.5553937946009172e-05
2011,0.00011531431800229476,2.594572155051632e-05,0.00010378288620206528,2.882857950057369e-06,2.594572155051632e-05,0.0006515258967129654,1.7297147700344214e-05,0.0,0.0,0.00019315148265384373,1.1531431800229475e-05
2012,0.00015312002192033997,1.8804213218287368e-05,0.0001396884410501347,1.6117897044246313e-05,3.7608426436574735e-05,0.0008891706536075883,4.0294742610615786e-05,0.0,0.0,0.0001396884410501347,8.058948522123157e-06
2013,0.00011458574706087559,4.5834298824350235e-05,0.0001375028964730507,1.5278099608116746e-05,5.092699869372248e-05,0.0007257097313855454,2.8009849281547366e-05,0.0,0.0,0.00020370799477488992,1.5278099608116746e-05
2014,0.00017516290149839351,0.0001901768644839701,0.00023521875344069984,1.0009308657051058e-05,5.254887044951805e-05,0.0006656190256938954,6.506050627083187e-05,0.0,0.0,0.0001826698829911818,1.7516290149839352e-05
2015,0.0002642692953982239,0.000690590517219887,0.0008002872058757535,3.988970496576965e-05,5.734145088829387e-05,0.000653193918814478,0.00014958639362163618,6.731387712973629e-05,0.0,0.00022936580355317548,1.2465532801803015e-05
2016,0.00038116075826240194,0.0009677523148090855,0.001395939400389576,5.692660675347562e-05,7.177702590655621e-05,0.0006682688618886268,0.00019305544899004775,0.0004826386224751194,0.0,0.00018810530927235422,1.732548901192736e-05
2017,0.0008357335439220369,0.0011264234722427454,0.001724760241369537,8.962939456555179e-05,0.0001162759713282834,0.0006249833458895233,0.0004941728781452044,0.0012548115239177252,0.0,0.00018894845340846052,1.2112080346696188e-05
2018,0.0019061572977388782,0.0013519016991548807,0.0016748158305038183,0.0001951943629795817,0.00010121189191533867,0.0006699263322015273,0.0005422065638321714,0.003352041467958002,0.0,0.00020483359078104252,2.6507876454017268e-05
2019,0.003955537752853996,0.0016090708810516541,0.00209384046756368,0.00032773155144474994,0.00012745115889518054,0.000792017915991479,0.0006486353622344008,0.003960089579957395,0.0,0.00022076361451486628,1.820730841359722e-05
2020,0.003737643128962011,0.0014437040212970566,0.001356500422695221,0.0002640331179888912,0.0001356500422695221,0.000809055609250364,0.0005740903574620846,0.003786089572629697,0.0004650858592097901,0.0002519215070719696,2.422322183384323e-05
2021,0.004586981949230234,0.0015426927575633042,0.0012803085385515126,0.00039831821199380396,0.00014541775993424588,0.0011127619890620554,0.0004931558815161382,0.004049568488603673,0.001163342079473967,0.00028135175291625836,6.322511301488952e-06
2022,0.005235573659198914,0.0016727766463000679,0.0014772572980312289,0.00031500339443312966,0.0001520706042090971,0.0008581126951799049,0.0007223353699932111,0.003796334012219959,0.0006625933469110659,0.00027155465037338765,5.431093007467753e-06
